title,company,city,url,passedDay,type,imageUrl,JobDes,JobType,contractType,Experience,salary,skills,gender,militaryService,degree
Senior React Developer (امکان امریه),رهروان دانایی چیستا  | Chista,تهران، تهران,https://jobinja.ir/companies/chista-6/jobs/RaU5/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-react-developer-%D8%A7%D9%85%DA%A9%D8%A7%D9%86-%D8%A7%D9%85%D8%B1%DB%8C%D9%87-%D8%AF%D8%B1-%D8%B1%D9%87%D8%B1%D9%88%D8%A7%D9%86-%D8%AF%D8%A7%D9%86%D8%A7%DB%8C%DB%8C-%DA%86%DB%8C%D8%B3%D8%AA%D8%A7?_ref=16,امروز,شغل,https://thumb.jobinjacdn.com/8WWlaIb1LycaUKXxDJZScgAtTyY=/fit-in/128x128/filters:strip_exif():fill(transparent):format(png)/https://storage.jobinjacdn.com/other/files/uploads/images/bd11d9b0-3219-11eb-9423-d6b790452c1a_cbb4495e-0221-4a60-88cb-33b1e63ae0a5/main.png,ما به دنبال برنامه نویس فرانت اند  با تواناییهای زیر جهت توسعه پروژه چیستا هستیم  شایستگی های کلیدی:تسلط بر React.js تسلط بر nextjsتسلط بر TypeScriptتسلط بر Redux / Context / Thunk / Saga / Hooksتسلط بر  JavaScript (ES6) ، HTML5 و CSS3تسلط بر اصول طراحی و پیاده سازی صفحات Responsive تسلط بر بکارگیری RESTful ، WebSocket و WebServiceمهارتهای امتیازی:آشنایی با LESS ، SASS و سایر پیش پردازنده های CSSآشنایی با  Material Designآشنایی با  متدولوژی اسکرامآشنایی با  PWAتجربه کار  با  postman و  swaggerتجربه کار با Git - Gitflowشرایط عمومی :دارای ‌‌ذهن تحلیل گرخلاق، منظم، سخت کوش و با انگیزهمتعهد، منظم و دارای اخلاق حرفه‌ایتوانایی انجام کار تیمی و توسعه روابط بین فردیتوانایی بسیار بالا در حل مسائل چالشی و پیدا کردن راه کار برای فیچرهای پروژه  روحیه کار تیمیبرخی مزایای شرکت:حوزه کاری پر چالش و یادگیری و امکان همکاری با هم تیمی های حرفه ایپرداخت پاداش عملکردپرداخت به موقع حقوقبیمه کامل تامین اجتماعی و تکمیلیانجام خدمت نظام وظيفه در شركتامکان دورکاری,وب،‌ برنامه‌نویسی و نرم‌افزار,تمام وقت,مهم نیست,"از ۱۵,۰۰۰,۰۰۰ تومان","[""Front-end"",""Javascript"",""NextJS"",""ReactJS"",""Next.js"",""HTML5"",""CSS3"",""ES6""]",مهم نیست,مهم‌ نیست,کارشناسی
گرافیست (مشهد),وب شرق طوس | Web Shargh Toos,خراسان رضوی، مشهد,https://jobinja.ir/companies/web-shargh-toos/jobs/RLKr/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%AF%D8%B1%D8%A7%D9%81%DB%8C%D8%B3%D8%AA-%D9%85%D8%B4%D9%87%D8%AF-%D8%AF%D8%B1-%D9%88%D8%A8-%D8%B4%D8%B1%D9%82-%D8%B7%D9%88%D8%B3?_ref=16,امروز,شغل,https://thumb.jobinjacdn.com/_6FqVH_QZX0ThmsbT9EyG1NKcTo=/fit-in/128x128/filters:strip_exif():fill(transparent):format(png)/https://storage.jobinjacdn.com/other/files/uploads/images/6a084100-7f74-44e2-b3bf-b1a9933bd2de/main.png,سلام، یک شرکت خصوصی فعال در حوزه دیجیتال مارکتینگ در مشهد به یک گرافیست آشنا به تولید محتوا و مدیریت صفحات شبکه های اجتماعی نیازمند است (به هیچ وجه نگران حقوق نباشید).صداقتتسلط به زبان انگلیسیتسلط به ابزارهای مورد نیاز جهت طراحی عکس و ویدیواهل تلاش و کوشش و علاقه مند به کارتمام وقت - حضوری,طراحی,تمام وقت,مهم نیست,توافقی,"[""طراحی گرافیک""]",مهم نیست,مهم‌ نیست,مهم نیست
متخصص شبکه های اجتماعی (مشهد),وب شرق طوس | Web Shargh Toos,خراسان رضوی، مشهد,https://jobinja.ir/companies/web-shargh-toos/jobs/RLKZ/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D8%B4%D8%A8%DA%A9%D9%87-%D9%87%D8%A7%DB%8C-%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%DB%8C-%D9%85%D8%B4%D9%87%D8%AF-%D8%AF%D8%B1-%D9%88%D8%A8-%D8%B4%D8%B1%D9%82-%D8%B7%D9%88%D8%B3?_ref=16,امروز,شغل,https://thumb.jobinjacdn.com/_6FqVH_QZX0ThmsbT9EyG1NKcTo=/fit-in/128x128/filters:strip_exif():fill(transparent):format(png)/https://storage.jobinjacdn.com/other/files/uploads/images/6a084100-7f74-44e2-b3bf-b1a9933bd2de/main.png,سلام، یک شرکت خصوصی فعال در حوزه دیجیتال مارکتینگ در مشهد به یک متخصص شبکه های اجتماعی یا گرافیست آشنا به تولید محتوا و مدیریت صفحات شبکه های اجتماعی نیازمند است (به هیچ وجه نگران حقوق نباشید).صداقتتسلط به زبان انگلیسیتسلط به ابزارهای مورد نیاز جهت طراحی عکس و ویدیواهل تلاش و کوشش و علاقه مند به کارتمام وقت - حضوری,تولید و مدیریت محتوا,تمام وقت,مهم نیست,توافقی,"[""شبکه های اجتماعی""]",مهم نیست,مهم‌ نیست,مهم نیست
Senior Network Engineer,دادپرداز | Dad Pardaz,تهران، تهران,https://jobinja.ir/companies/dadpardaz/jobs/R4HD/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-network-engineer-%D8%AF%D8%B1-%D8%AF%D8%A7%D8%AF%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2?_ref=16,امروز,شغل,https://thumb.jobinjacdn.com/MZW5WgDDHJdUMJvXvOP5FLgBvLI=/fit-in/128x128/filters:strip_exif():fill(white):format(jpeg)/https://storage.jobinjacdn.com/other/files/uploads/images/7cc25e92-7ccc-11e9-851a-d6b790452c1a_d45ee31f-2565-407b-8e11-850de63c43d7/main.jpg,1- توسعه زیرساخت های IT و پایش و مانیتورینگ آنها2- توسعه و پایش مجازی‏ سازی با ESX و VCenter3- راه اندازی و عیب یابی ویندوز سرور و سرویس‏ های مرتبط (Active Directory ،DNS ،DHCP ،IIS و ... )4- توسعه و بروزرسانی سخت افزار سرورها5- عیب یابی و پیگیری مشکلات تا رفع کامل آنها6- تسلط به ESXI 7- آشنایی با Active Directory 8- تسلط به IIS 9- آشنایی با Windows Server ساعت کاری: شنبه تا چهارشنبه 8:30 الی 17 و پنجشنبه تا 13مزایا و تسهیلات: امریه سربازی- بیمه درمان تکمیلی- کمک هزینه دوره آموزشی- بسته ها و هدایای مناسبتی,IT / DevOps / Server,"تمام وقت
                                    دورکاری",سه تا شش سال,"از ۱۰,۰۰۰,۰۰۰ تومان","[""+NETWORK"",""Network Engineer"",""ESX"",""active directory"",""مجازی سازی""]",مهم نیست,مهم‌ نیست,کارشناسی
کارشناس فروش,کامیاب تجارت مهتاب | Kamyab Tejarat Mahtab,تهران، تهران,https://jobinja.ir/companies/kamyab-tejarat-mahtab/jobs/Rm6d/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D9%81%D8%B1%D9%88%D8%B4-%D8%AF%D8%B1-%DA%A9%D8%A7%D9%85%DB%8C%D8%A7%D8%A8-%D8%AA%D8%AC%D8%A7%D8%B1%D8%AA-%D9%85%D9%87%D8%AA%D8%A7%D8%A8?_ref=16,امروز,شغل,https://thumb.jobinjacdn.com/u2NvxYRbK7Kc--z0g8cFhsM1XM4=/fit-in/128x128/filters:strip_exif():fill(white):format(jpeg)/https://storage.jobinjacdn.com/other/files/uploads/images/4e600b74-ffb8-11ea-acc6-d6b790452c1a_f04cc6ea-474f-4746-936b-56e004989aa3/main.jpg,روابط عمومی بالافن بیان قویتسلط به فروش و بازاریابیجهت فروش مواد غذایی ( حبوبات ، ادویه ،..)محدوده سعادت آبادساعت کاری : شنبه تا چهارشنبه 8:30 تا 16:30، پنج شنبه 8:30 تا 14+ حقوق ثابت + پورسانت+ بیمه,فروش و بازاریابی,تمام وقت,مهم نیست,"از ۵,۰۰۰,۰۰۰ تومان","[""اصول و فنون مذاکره"",""فروش"",""ارتباط با مشتری"",""فروش و بازاریابی""]",مهم نیست,مهم‌ نیست,کارشناسی
کارشناس فروش و توسعه بازار,فروشگاه اینترنتی فونر | Phoner,تهران، تهران,https://jobinja.ir/companies/phoner-ir/jobs/RaQR/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D9%81%D8%B1%D9%88%D8%B4-%D9%88-%D8%AA%D9%88%D8%B3%D8%B9%D9%87-%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1-%D8%AF%D8%B1-%D9%81%D8%B1%D9%88%D8%B4%DA%AF%D8%A7%D9%87-%D8%A7%DB%8C%D9%86%D8%AA%D8%B1%D9%86%D8%AA%DB%8C-%D9%81%D9%88%D9%86%D8%B1?_ref=16,امروز,شغل,https://thumb.jobinjacdn.com/2xU5p0bcAK0D46ffdTPA75F1cmk=/fit-in/128x128/filters:strip_exif():fill(white):format(jpeg)/https://storage.jobinjacdn.com/other/files/uploads/images/bb08f946-247e-11e9-897f-d6b790452c1a_a73c981b-655d-461b-a81d-dfc523bb5478/main.jpg,ما توی تیم فروشمون نیاز به شخصی خلاق و مسئولیت پذیر نیاز داریم، در صورت علاقه مندی به موضوغ فروش آنلاین و آفلاین موبایل و لوازم جانبی و شرایط زیر رزومه خودتون رو برای ما ارسال کنید.توانایی فنی:تسلط بر اصول و فنون مذاکره ، فروش و بازاریابی (آنلاین و آفلاین)تسلط بر بررسی و تحلیل بازار هدفتسلط بر اینترنت و کار کامپیوترتسلط بر نرم افزار های Office ترجیحا نرم افزار اکسلعلاقه مند به حوزه تکنولوژی موبایل و لوازم جانبیدارای روحیه کار تیمی و انعطاف پذیریدارای روابط عمومی بالا و فن بیان قویمتعهد و امانت دارمزایای شغلی:فضای کاری صمیمی و دوستانهحضور در تیمی حرفه ای و با تجربهبیمه تامین اجتماعی و مزایاپرداخت به موقع حقوق + پورسانتامکان رشد و کسب مهارت های عالی در مدت زمانی کوتاهمحل شرکت: مترو مفتح,فروش و بازاریابی,تمام وقت,سه تا شش سال,توافقی,"[""توسعه بازار"",""اصول و فنون مذاکره"",""فروش و بازاریابی"",""Microsoft Office"",""تحلیل بازار""]",مهم نیست,معافیت دائمپایان خدمت,کاردانی
کارشناس فروش حضوری (عقد قرارداد-آقا),زرین پلاس | Zarinplus,تهران، تهران,https://jobinja.ir/companies/emtiyaz/jobs/R4kW/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D9%81%D8%B1%D9%88%D8%B4-%D8%AD%D8%B6%D9%88%D8%B1%DB%8C-%D8%B9%D9%82%D8%AF-%D9%82%D8%B1%D8%A7%D8%B1%D8%AF%D8%A7%D8%AF-%D8%A2%D9%82%D8%A7-%D8%AF%D8%B1-%D8%B2%D8%B1%DB%8C%D9%86-%D9%BE%D9%84%D8%A7%D8%B3?_ref=16,امروز,شغل,https://thumb.jobinjacdn.com/Bkn4DY5IwesClyMBO_JzDnEmwrM=/fit-in/128x128/filters:strip_exif():fill(transparent):format(png)/https://storage.jobinjacdn.com/other/files/uploads/images/7b110013-b12c-4c66-95ab-9ad743f77f08/main.png,"واحد فروش "" زرین پلاس "" به دنبال جذب کارشناسان فروش توانمند و با انگیزه جهت تکمیل تیم فروش خود می باشد. اگر شما دارای روابط عمومي بالا و علاقمند به بازاریابی و فروش هستید اینجا جای شماست.شرایط عمومی : با انگیزه و به دنبال کسب درآمد بالا آقا با ظاهر آراسته و برخورد حرفه ای علاقه مند به مذاکـره و فروش حضـوری محل شرکت محدوده یوسف آباد و فاطمی – خیابان فتحی شقاقیمهارت های فردی این شغل :- روابط عمومی بالا- روحیه کار تیـمی - منظم و با انگیزه- توانایی مذاكره و فن بیان- مشتري مدار و پیگیر تا حصول نتيجه- سابقه کار مرتبط مزیت محسوب می شودامکان کسب درآمد بالا بر اساس عملکرد و انگیزه : حقوق ثابت ماهانه امکان ارتقـا شغـلی قرارداد رسمی کار و بیمه پورسـانت فروش به ازاي عقد هر قرارداد پاداش نقدی پلکانی برای هدفگذاری ها  آموزش رایگان مباحث مربوط به فروش و بازاریابی  عیدی و سنوات پایان سال و امنیت شغلی براساس قوانین و مقررات وزارت کار و امور اجتماعی  "" زرین پلاس "" محصولی مشترک از زرین پال (اولین و بزرگ ترین پرداخت یار کشور) و اطلس پرتو آسیا (با سالها سابقه تبلیغات و دیجیتال مارکتینگ) در حوزه پاداش نقدی (CashBack) به ازای هر خرید می باشد.",فروش و بازاریابی,تمام وقت,مهم نیست,"از ۴,۵۰۰,۰۰۰ تومان","[""اصول و فنون مذاکره"",""فروش و بازاریابی"",""عقد قرارداد"",""فروش حضوری"",""ارتباط با مشتری""]",مرد,مهم‌ نیست,دیپلم
کارشناس دیجیتال مارکتینگ,میهمان شو | Mihmansho,تهران، تهران,https://jobinja.ir/companies/mihmansho/jobs/Rrzi/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%AF%DB%8C%D8%AC%DB%8C%D8%AA%D8%A7%D9%84-%D9%85%D8%A7%D8%B1%DA%A9%D8%AA%DB%8C%D9%86%DA%AF-%D8%AF%D8%B1-%D9%85%DB%8C%D9%87%D9%85%D8%A7%D9%86-%D8%B4%D9%88?_ref=16,امروز,شغل,https://thumb.jobinjacdn.com/oWtnNC2MWWQWg7_ldmY8GEKW8pY=/fit-in/128x128/filters:strip_exif():fill(white):format(jpeg)/https://storage.jobinjacdn.com/other/files/uploads/images/a15a0574-a87a-11e8-936a-26a4da5b8340_5e18667e-6369-49be-9435-5873896d66c2/main.jpg,"میهمان شو یک وب سایت گردشگری آنلاین در شرکت تجارت الکترونیک فن هور واقع درغرب تهران، اشرفی اصفهانی است. پیش نیازها :• خلاق و علاقه مند به ایده پردازی• شخصیت اجتماعی با روابط اجتماعی بالا• آشنا به اصول بهینه سازی CR• آشنا به SEO و مدیریت محتوا  شبکه های اجتماعی• مدیریت کمپین ها، بودجه بندی و ایمیل مارکتینگ• مسلط به تحلیل داده و ابزارهای گزارش گیری همچون Data Studio, GA• آشنایی با زبان انگلیسی، خلاق، ایده پرداز • سابقه فعالیت در استارتاپ ها و پروژه های موفقلطفا در صورتی که در خود علاقه و توانایی کافی را میبینید، رزومه خود را ارسال فرمایید.",تولید و مدیریت محتوا,تمام وقت,مهم نیست,توافقی,"[""دیجیتال مارکتینگ"",""شبکه های اجتماعی"",""SEO"",""کمپین‌های تبلیغاتی"",""تولید محتوا""]",مهم نیست,مهم‌ نیست,مهم نیست
کارشناس فروش(خانم),روتک | ROTEC,تهران، تهران,https://jobinja.ir/companies/rotec-1/jobs/R0FQ/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D9%81%D8%B1%D9%88%D8%B4-%D8%AE%D8%A7%D9%86%D9%85-%D8%AF%D8%B1-%D8%B1%D9%88%D8%AA%DA%A9?_ref=16,امروز,شغل,https://thumb.jobinjacdn.com/PqX2HGYmLp-zfNw5RmvourP8UvQ=/fit-in/128x128/filters:strip_exif():fill(white):format(jpeg)/https://storage.jobinjacdn.com/other/files/uploads/images/33215772-2287-11eb-8f0b-d6b790452c1a_4ddb21d9-06a7-412a-a735-5fc9f945f97c/main.jpg,به یک نفر کارشناس فروش با شرایط زیر نیازمندیم:- تحصیلات: حداقل کاردانی- حداقل 2 سال سابقه کار فروش- آشنا با office- دارای مهارت مذاکره بالا- منظم و بادقت- پیگیر و مسئولیت پذیر ، روحیه کار تیمی- محدوده سنی: 23-35- ترجیحا ساکن محدوده غرب تهرانمزایا:- بیمه تامین اجتماعی- بیمه تکمیلی- اضافه کار- آموزش- تمایل به همکاری طولانی و تمام وقت- دارای محیط صمیمی و دوستانه- پرداخت به موقع حقوق،عیدی و سنوات حق مسلم پرسنل است و مزیت محسوب نمی شودساعات کاری شرکت:شنبه تا چهارشنبه ساعت 08:00الی 17:00پنج شنبه ساعت 08:00الی 12:00 آدرس شرکت : جلال آل احمد / مرزداران,فروش و بازاریابی,تمام وقت,کمتر از سه سال,"از ۴,۰۰۰,۰۰۰ تومان","[""فروش و بازاریابی"",""اصول و فنون مذاکره"",""فروش""]",زن,,کاردانی
برنامه‌نویس (Front-End (React,پگاه آفتاب | Pegah-e Aftab,تهران، تهران,https://jobinja.ir/companies/pegaheaftab/jobs/R4dk/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-front-end-react-%D8%AF%D8%B1-%D9%BE%DA%AF%D8%A7%D9%87-%D8%A2%D9%81%D8%AA%D8%A7%D8%A8?_ref=16,امروز,شغل,https://thumb.jobinjacdn.com/eSjYj06sNTb8np0zGuTsl7iXU_4=/fit-in/128x128/filters:strip_exif():fill(white):format(jpeg)/https://storage.jobinjacdn.com/other/files/uploads/images/c17acbae-8643-11e7-910e-06a874001fea_99680126-ffb0-4792-aa09-eb4de27e9a4a/main.jpg,ما برای توسعه تیم تولید، به برنامه‌نویس حرفه‌ای و همچنین برنامه‌نویسان جوان و مستعد یادگیری نیاز داریم. داشتن انگیزه کافی جهت یادگیری و همچنين اخلاق حرفه‌ای بسیار مورد اهمیت است. مهارت‌های تخصصی:تسلط کامل بر React آشنایی با TypeScriptاگر هر یک از تجارب و مهارت‌های زیر را دارید، اولویت با شماست:-  آشنا به #C و مفاهیم OOP -  آشنایی یا سابقه کار در سیستم‌های فرایندی و BPMSساعات کاری منعطف و همکاری به صورت دورکاری نیز قابل بررسی است. تعیین میزان حقوق بر اساس توانایی و تسلط فرد قابل مذاکره است.,وب،‌ برنامه‌نویسی و نرم‌افزار,تمام وقت,سه تا شش سال,توافقی,"[""Front-end"",""React"",""typescript"",""bpms""]",مهم نیست,مهم‌ نیست,مهم نیست
کارشناس ارشد حسابداری (خانم),نگین تبلیغات | Negin Advertising Agency,تهران، تهران,https://jobinja.ir/companies/negin-advertising-agancy/jobs/R4d4/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%A7%D8%B1%D8%B4%D8%AF-%D8%AD%D8%B3%D8%A7%D8%A8%D8%AF%D8%A7%D8%B1%DB%8C-%D8%AE%D8%A7%D9%86%D9%85-%D8%AF%D8%B1-%D9%86%DA%AF%DB%8C%D9%86-%D8%AA%D8%A8%D9%84%DB%8C%D8%BA%D8%A7%D8%AA?_ref=16,امروز,شغل,https://thumb.jobinjacdn.com/QyDtGF-SSptDGtZV1r8HnoMtMFU=/fit-in/128x128/filters:strip_exif():fill(white):format(jpeg)/https://storage.jobinjacdn.com/other/files/uploads/images/db570c5d-2596-4a22-b619-a51824473e40/main.jpg,"کارشناس ارشد حسابداری خانممحدوده شرکت : جردنآشنا به ثبت اسناد حسابداری در نرم افزار سپیدارتوانایی تنظیم و ارسال اظهارنامه ارزش افزوده و گزارشات فصلیتوانایی تهیه و تنظیم لیست بیمه و مالیات حقوقآشنا به مباحث و قوانین مالیاتی و بیمهتوانایی گزارش دهی دقیق به مدیر مالی ، دارای روحیه کار تیمیآشنایی کامل به تهیه و تنطیم صورت های مالیتوانایی پیگیری دقیق مسائل بیمه و مالیاتی.آشنا بر نرم افزار office (excel , word)حداکثر سن : 35 سالساعت کار شنبه تا چهارشنبه 9 الی 18- پنجشنبه تعطیل",مالی و حسابداری,تمام وقت,سه تا شش سال,توافقی,"[""مالی و حسابداری"",""حسابداری"",""امور مالیاتی"",""امور مالی"",""حقوق و دستمزد"",""مالیات ارزش افزوده"",""Microsoft Office"",""Microsoft Excel""]",زن,,کارشناسی
کارشناس تولید محتوا و شبکه‌های اجتماعی(خانم),تهران آهن راگا | Tehran Ahan Raga,تهران، تهران,https://jobinja.ir/companies/iron/jobs/R4HH/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%AA%D9%88%D9%84%DB%8C%D8%AF-%D9%85%D8%AD%D8%AA%D9%88%D8%A7-%D9%88-%D8%B4%D8%A8%DA%A9%D9%87-%D9%87%D8%A7%DB%8C-%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%DB%8C-%D8%AE%D8%A7%D9%86%D9%85-%D8%AF%D8%B1-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%D8%A2%D9%87%D9%86-%D8%B1%D8%A7%DA%AF%D8%A7?_ref=16,امروز,شغل,https://jobinja.ir/assets/img/logo-placeholder.png,تسلط به سوشال مدیا و مدیریت کمپین‌های‌ تبلیغاتی در انواع شبکه‌های اجتماعیتسلط بر ترفندها و راهکارهای افزایش نرخ تعامل و جذب مخاطب در شبکه‌های اجتماعیتسلط به نوشتن تقویم محتوایی  بر اساس استراتژی محتواتسلط به بازاریابی محتوایی خلاقانهآشنایی با ابزارهای مدیریت و تحلیل سوشال مدیاتسلط به کپشن نویسی خلاقانه تسلط بر الگوریتم‌های شبکه های اجتماعی، هشتگ گذاری و اکسپلور و ....اگر فردی خلاق و مسئولیت پذیر با روحیه کار تیمی هستید برای این عنوان شغلی اقدام کنید شرایط کاری:محل کار واقع در خیابان سمیه فاصله تا مترو طالقانی 5 دقیقه روز های کاری از شنبه تا چهار شنبهساعت کاری 9 الی 17پنج شنبه تا ساعت 13 محیط کاری شاداب و امکانات مناسبروابط بین همکاران و مدیریت صمیمی و دوستانه پرداخت حقوق منظم و به موقعبیمههمکاری بلند مدت,تولید و مدیریت محتوا,تمام وقت,کمتر از سه سال,توافقی,"[""تولید محتوا"",""شبکه های اجتماعی"",""مدیریت و تولید محتوا"",""بازاریابی محتوا"",""سوشال مدیا"",""Social Media""]",زن,,مهم نیست
Senior Python (Django) Developer,آرمان پردازان نوژن | Arman Pardazan Nozhan,تهران، تهران,https://jobinja.ir/companies/arman-pardazan-nozhan/jobs/R47y/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-python-django-developer-%D8%AF%D8%B1-%D8%A2%D8%B1%D9%85%D8%A7%D9%86-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2%D8%A7%D9%86-%D9%86%D9%88%DA%98%D9%86?_ref=16,امروز,شغل,https://thumb.jobinjacdn.com/3xpRz9i3zUYww2tiIIehZmdfArE=/fit-in/128x128/filters:strip_exif():fill(white):format(jpeg)/https://storage.jobinjacdn.com/other/files/uploads/images/8a171660-ab9d-11e8-ab2e-26a4da5b8340_72ec73b6-a1fc-4c53-8efa-5fe8a121663d/main.jpg,"Due to current circumstances, The remote option also availableJob Description:Developing Restful APIs and maintenance live applicationsWork with other team members: Product Manager, UI/UX designers, Backend, etcWrite clean, reusable, testable code following modern best practicesCommunicate effectively with other front-end team membersUse analysis systems to identify and fix product issues Optimize components for maximum performanceLearn new technologies to improve yourself and products continuouslyUse best practices for development (ORM, etc)Required skills:Excellent knowledge of Python, Django and DRF (Django Rest Framework)Deep knowledge of Restful APIs and web servicesExperience with Django common packages(pillow, pytx, xlsxwriter, etc)Experience with Authentication Packages like OAuth2 and JWTExperience with Async and task queue packages (Celery and Django Channels)Experience with GitExperience with Postman and documenting toolsDeep knowledge with relational database like PostgreSQLExperience on deployment and production configuration like: uwsgi, asgi, daphne, nginx, redisExperience in LinuxDesired skills:Familiar with Kubernetes Experience in DockerAWS knowledgeCompetitive salary and benefits:Insurance and all legal benefitsParticipate in international projectsCollaborating with top talented developer",وب،‌ برنامه‌نویسی و نرم‌افزار,تمام وقت,سه تا شش سال,"از ۱۴,۰۰۰,۰۰۰ تومان","[""Django"",""Python"",""Git"",""PostgreSQL"",""RestFul API"",""Postgres"",""Docker""]",مهم نیست,مهم‌ نیست,مهم نیست
Senior iOS developer,آرمان پردازان نوژن | Arman Pardazan Nozhan,تهران، تهران,https://jobinja.ir/companies/arman-pardazan-nozhan/jobs/R47o/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-ios-developer-%D8%AF%D8%B1-%D8%A2%D8%B1%D9%85%D8%A7%D9%86-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2%D8%A7%D9%86-%D9%86%D9%88%DA%98%D9%86?_ref=16,امروز,شغل,https://thumb.jobinjacdn.com/3xpRz9i3zUYww2tiIIehZmdfArE=/fit-in/128x128/filters:strip_exif():fill(white):format(jpeg)/https://storage.jobinjacdn.com/other/files/uploads/images/8a171660-ab9d-11e8-ab2e-26a4da5b8340_72ec73b6-a1fc-4c53-8efa-5fe8a121663d/main.jpg,"Due to current circumstances, The remote option also available for full time positionsJob Description:Developing and maintenance live applicationsWork with other team members: Product Manager, UI/UX designers, Backend, etcWrite clean, reusable, testable code following modern best practicesUse analysis systems to identify and fix product issues Optimize Modules for maximum performanceLearn new technologies to improve yourself and products continuouslyUse best practices for developmentRequired Skills:Worked on live applications Expert in Swift (V 5.X)Familiar with Objective-C (Pods modification)Expert in application UI development via xib file (Pair)Worked on common Design Patterns (MVVM, MVC, VIPER, etc)Familiar with Push Notification and Deep-linkWorked on Firebase (Crashlytics, Notification, etc)Expert in Cocoapods and dependency managementFamiliar with common pods (Alamofire, SDWebImage, ObjectMapper, SugarRecord, etc)Familiar with RxSwift (Reactive Programming)Expert in HIG (Human Interface Guide)Expert in Restful API and communicationsExpert in GitFamiliar with OAuth 2.0 standard or other authentication methodsFamiliar with Agile Scrum Desired skills:Familiar with Socket and related pods (Real-time)Familiar with Multi lingual apps (localization)Familiar with Core Data and related pods (offline mode)Familiar with Video/Audio streaming podsWorked on Dark ModeFamiliar with Google | Facebook Authentication ServicesFamiliar with production environment and profiling (memory leak, ARC, etc)Familiar with Animation (Spring Pod, custom, etc)Competitive salary and benefits:Insurance and all legal benefitsParticipate in international projectsCollaborating with top talented developer",وب،‌ برنامه‌نویسی و نرم‌افزار,تمام وقت,سه تا شش سال,"از ۱۴,۰۰۰,۰۰۰ تومان","[""IOS"",""Objective-C"",""RestFul API"",""MVVM"",""Xcode"",""iOS SDK"",""MVC""]",مهم نیست,مهم‌ نیست,مهم نیست
